Date,Growth
2010-07-07,0.03209222620345852
2010-07-08,-0.017070124308570692
2010-07-09,0.01057782911334688
2010-07-10,0.0
2010-07-11,0.0
2010-07-12,-0.004772260480850587
2010-07-13,-0.017158879644021678
2010-07-14,0.014258853024130425
2010-07-15,0.012737851863500585
2010-07-16,-0.012435584904495903
2010-07-17,0.0
2010-07-18,0.0
2010-07-19,-0.016665624413732653
2010-07-20,0.038902486152260676
2010-07-21,-0.040664780763790744
2010-07-22,0.0050599927281542115
2010-07-23,0.010595342906585013
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,-0.002673234613882757
2010-07-27,0.013120843568390222
2010-07-28,-0.010335228618810609
2010-07-29,-0.009943990175816956
2010-07-30,0.0059236641221374845
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.005396977692492196
